alpha,q_hat,coverage,selective_risk,bound,bound_holds,n_answered,tool,backend
0.01,0.0017031860479619354,0.9333333333333333,0.17857142857142858,0.010714285714285714,False,140,attntrace,llama3.2-3b
0.02,0.002052787556460807,0.9066666666666666,0.15441176470588236,0.022058823529411766,False,136,attntrace,llama3.2-3b
0.03,0.002263918815349991,0.8733333333333333,0.1297709923664122,0.03435114503816794,False,131,attntrace,llama3.2-3b
0.04,0.002385699212121741,0.8666666666666667,0.12307692307692308,0.046153846153846156,False,130,attntrace,llama3.2-3b
0.05,0.0024258634153132637,0.8666666666666667,0.12307692307692308,0.057692307692307696,False,130,attntrace,llama3.2-3b
0.06,0.0024907121651175654,0.8533333333333334,0.109375,0.07031249999999999,False,128,attntrace,llama3.2-3b
0.07,0.002566273990345912,0.8466666666666667,0.10236220472440945,0.08267716535433071,False,127,attntrace,llama3.2-3b
0.08,0.0025870630983263255,0.8466666666666667,0.10236220472440945,0.09448818897637795,False,127,attntrace,llama3.2-3b
0.09,0.0026335671815710766,0.8266666666666667,0.10483870967741936,0.10887096774193548,True,124,attntrace,llama3.2-3b
0.1,0.0026735887948521656,0.8066666666666666,0.09917355371900827,0.12396694214876035,True,121,attntrace,llama3.2-3b
0.11,0.0027059963959757067,0.8,0.1,0.13749999999999998,True,120,attntrace,llama3.2-3b
0.12,0.0027409960512540764,0.7933333333333333,0.10084033613445378,0.15126050420168066,True,119,attntrace,llama3.2-3b
0.13,0.0027610779184704787,0.7866666666666666,0.1016949152542373,0.1652542372881356,True,118,attntrace,llama3.2-3b
0.14,0.002792815349044299,0.7866666666666666,0.1016949152542373,0.17796610169491528,True,118,attntrace,llama3.2-3b
0.15,0.0028024292042986916,0.7866666666666666,0.1016949152542373,0.1906779661016949,True,118,attntrace,llama3.2-3b
0.16,0.0028146108638288244,0.78,0.10256410256410256,0.20512820512820512,True,117,attntrace,llama3.2-3b
0.17,0.0029216342391298407,0.7466666666666667,0.10714285714285714,0.22767857142857142,True,112,attntrace,llama3.2-3b
0.18,0.0029455185528301326,0.7266666666666667,0.10091743119266056,0.2477064220183486,True,109,attntrace,llama3.2-3b
0.19,0.0029639562126249075,0.7266666666666667,0.10091743119266056,0.26146788990825687,True,109,attntrace,llama3.2-3b
0.2,0.0030023648718057513,0.72,0.09259259259259259,0.2777777777777778,True,108,attntrace,llama3.2-3b
0.21,0.003024705171507473,0.7066666666666667,0.09433962264150944,0.2971698113207547,True,106,attntrace,llama3.2-3b
0.22,0.0030387135407004455,0.6933333333333334,0.09615384615384616,0.3173076923076923,True,104,attntrace,llama3.2-3b
0.23,0.003079438186250627,0.68,0.09803921568627451,0.338235294117647,True,102,attntrace,llama3.2-3b
0.24,0.003092921322856385,0.6666666666666666,0.09,0.36,True,100,attntrace,llama3.2-3b
0.25,0.003097887889651412,0.6666666666666666,0.09,0.375,True,100,attntrace,llama3.2-3b
0.26,0.0031044030806813873,0.66,0.09090909090909091,0.3939393939393939,True,99,attntrace,llama3.2-3b
0.27,0.0031535103376622176,0.6133333333333333,0.09782608695652174,0.4402173913043479,True,92,attntrace,llama3.2-3b
