tool,backend,epsilon,eps_frac_of_medgap,attack_success_rate
attntrace,llama3.2-3b,0.0,0.0,0.08
attntrace,llama3.2-3b,0.0001665946208165444,0.05,0.09333333333333334
attntrace,llama3.2-3b,0.0003331892416330888,0.1,0.11333333333333333
attntrace,llama3.2-3b,0.0004997838624496333,0.15000000000000002,0.12666666666666668
attntrace,llama3.2-3b,0.0006663784832661776,0.2,0.14
attntrace,llama3.2-3b,0.000832973104082722,0.25,0.15333333333333332
attntrace,llama3.2-3b,0.0009995677248992665,0.30000000000000004,0.16666666666666666
attntrace,llama3.2-3b,0.001166162345715811,0.35000000000000003,0.16666666666666666
attntrace,llama3.2-3b,0.0013327569665323553,0.4,0.18666666666666668
attntrace,llama3.2-3b,0.0014993515873488997,0.45,0.18666666666666668
attntrace,llama3.2-3b,0.001665946208165444,0.5,0.19333333333333333
attntrace,llama3.2-3b,0.0018325408289819884,0.55,0.19333333333333333
attntrace,llama3.2-3b,0.001999135449798533,0.6000000000000001,0.19333333333333333
attntrace,llama3.2-3b,0.0021657300706150774,0.65,0.21333333333333335
attntrace,llama3.2-3b,0.002332324691431622,0.7000000000000001,0.21333333333333335
attntrace,llama3.2-3b,0.002498919312248166,0.75,0.23333333333333334
attntrace,llama3.2-3b,0.0026655139330647106,0.8,0.23333333333333334
attntrace,llama3.2-3b,0.002832108553881255,0.85,0.23333333333333334
attntrace,llama3.2-3b,0.0029987031746977993,0.9,0.23333333333333334
attntrace,llama3.2-3b,0.0031652977955143437,0.95,0.23333333333333334
attntrace,llama3.2-3b,0.003331892416330888,1.0,0.23333333333333334
attntrace,llama3.2-3b,0.0034984870371474325,1.05,0.23333333333333334
attntrace,llama3.2-3b,0.003665081657963977,1.1,0.23333333333333334
attntrace,llama3.2-3b,0.0038316762787805212,1.15,0.23333333333333334
attntrace,llama3.2-3b,0.003998270899597066,1.2000000000000002,0.23333333333333334
attntrace,llama3.2-3b,0.00416486552041361,1.25,0.23333333333333334
attntrace,llama3.2-3b,0.004331460141230155,1.3,0.23333333333333334
attntrace,llama3.2-3b,0.004498054762046699,1.3499999999999999,0.23333333333333334
attntrace,llama3.2-3b,0.004664649382863244,1.4000000000000001,0.23333333333333334
attntrace,llama3.2-3b,0.0048312440036797875,1.45,0.23333333333333334
attntrace,llama3.2-3b,0.004997838624496332,1.5,0.24
attntrace,llama3.2-3b,0.005164433245312876,1.5499999999999998,0.24
attntrace,llama3.2-3b,0.005331027866129421,1.6,0.2733333333333333
attntrace,llama3.2-3b,0.005497622486945966,1.6500000000000001,0.30666666666666664
attntrace,llama3.2-3b,0.00566421710776251,1.7,0.3466666666666667
attntrace,llama3.2-3b,0.005830811728579055,1.7500000000000002,0.46
attntrace,llama3.2-3b,0.005997406349395599,1.8,0.56
attntrace,llama3.2-3b,0.0061640009702121435,1.85,0.6666666666666666
attntrace,llama3.2-3b,0.006330595591028687,1.9,0.7266666666666667
attntrace,llama3.2-3b,0.006497190211845232,1.9500000000000002,0.7866666666666666
attntrace,llama3.2-3b,0.006663784832661776,2.0,0.86
attntrace,llama3.2-3b,0.006830379453478321,2.0500000000000003,0.9066666666666666
attntrace,llama3.2-3b,0.006996974074294865,2.1,0.94
attntrace,llama3.2-3b,0.00716356869511141,2.15,0.9533333333333334
attntrace,llama3.2-3b,0.007330163315927954,2.2,0.9666666666666667
attntrace,llama3.2-3b,0.0074967579367444985,2.25,0.98
attntrace,llama3.2-3b,0.0076633525575610425,2.3,0.9866666666666667
attntrace,llama3.2-3b,0.007829947178377587,2.35,0.9866666666666667
attntrace,llama3.2-3b,0.007996541799194132,2.4000000000000004,0.9866666666666667
attntrace,llama3.2-3b,0.008163136420010677,2.45,0.9866666666666667
attntrace,llama3.2-3b,0.00832973104082722,2.5,0.9866666666666667
attntrace,llama3.2-3b,0.008496325661643765,2.5500000000000003,0.9933333333333333
attntrace,llama3.2-3b,0.00866292028246031,2.6,0.9933333333333333
attntrace,llama3.2-3b,0.008829514903276854,2.6500000000000004,0.9933333333333333
attntrace,llama3.2-3b,0.008996109524093398,2.6999999999999997,0.9933333333333333
attntrace,llama3.2-3b,0.009162704144909942,2.75,0.9933333333333333
attntrace,llama3.2-3b,0.009329298765726487,2.8000000000000003,1.0
attntrace,llama3.2-3b,0.009495893386543032,2.85,1.0
