tool,backend,query_budget,attack_success
attntrace,llama3.2-3b,1,0.09333333333333334
attntrace,llama3.2-3b,5,0.16666666666666666
attntrace,llama3.2-3b,10,0.19333333333333333
attntrace,llama3.2-3b,25,0.23333333333333334
attntrace,llama3.2-3b,50,0.28
attntrace,llama3.2-3b,100,0.7533333333333333
attntrace,llama3.2-3b,250,0.86
attntrace,llama3.2-3b,500,0.86
attntrace,qwen2.5-3b,1,0.08666666666666667
attntrace,qwen2.5-3b,5,0.16
attntrace,qwen2.5-3b,10,0.19333333333333333
attntrace,qwen2.5-3b,25,0.2
attntrace,qwen2.5-3b,50,0.22666666666666666
attntrace,qwen2.5-3b,100,0.6933333333333334
attntrace,qwen2.5-3b,250,0.7933333333333333
attntrace,qwen2.5-3b,500,0.7933333333333333
ragorigin,llama3.2-3b,1,0.1
ragorigin,llama3.2-3b,5,0.2
ragorigin,llama3.2-3b,10,0.2
ragorigin,llama3.2-3b,25,0.2
ragorigin,llama3.2-3b,50,0.38
ragorigin,llama3.2-3b,100,0.82
ragorigin,llama3.2-3b,250,0.86
ragorigin,llama3.2-3b,500,0.86
