case_id,status,tool,backend,base_cdist,queries_used,final_graded,final_cdist,modeB_success
ragorigin_nq_nq_83,done,ragorigin,llama3.2-3b,1.00173,5,0.6,1.13714,False
ragorigin_nq_nq_161,done,ragorigin,llama3.2-3b,1.03579,4,0.6,1.03579,False
ragorigin_nq_nq_177,done,ragorigin,llama3.2-3b,1.06809,4,0.8,1.06809,False
ragorigin_nq_nq_179,done,ragorigin,llama3.2-3b,1.10554,4,0.8,1.10554,False
ragorigin_nq_nq_156,done,ragorigin,llama3.2-3b,1.13195,5,0.8,1.33434,False
ragorigin_nq_nq_135,done,ragorigin,llama3.2-3b,1.15871,5,0.6,1.12294,False
ragorigin_nq_nq_37,done,ragorigin,llama3.2-3b,1.1677,4,0.8,1.1677,False
ragorigin_nq_nq_100,done,ragorigin,llama3.2-3b,1.18594,5,0.8,1.18314,False
ragorigin_nq_nq_116,done,ragorigin,llama3.2-3b,1.20088,6,0.8,1.25158,False
ragorigin_nq_nq_205,done,ragorigin,llama3.2-3b,1.2252,5,0.8,1.23864,False
ragorigin_nq_nq_128,done,ragorigin,llama3.2-3b,1.23597,5,0.8,1.24224,False
ragorigin_nq_nq_67,done,ragorigin,llama3.2-3b,1.26431,4,0.6,1.26431,False
ragorigin_nq_nq_126,done,ragorigin,llama3.2-3b,1.26722,5,0.8,1.30626,False
ragorigin_nq_nq_133,done,ragorigin,llama3.2-3b,1.28348,5,0.8,1.29783,False
ragorigin_nq_nq_183,done,ragorigin,llama3.2-3b,1.29149,5,0.8,1.25849,False
ragorigin_nq_nq_168,done,ragorigin,llama3.2-3b,1.31279,4,0.6,1.31279,False
ragorigin_nq_nq_105,done,ragorigin,llama3.2-3b,1.31969,5,0.8,1.32346,False
ragorigin_nq_nq_74,done,ragorigin,llama3.2-3b,1.32921,5,0.8,1.32461,False
ragorigin_nq_nq_142,done,ragorigin,llama3.2-3b,1.33756,5,0.8,1.40711,False
ragorigin_nq_nq_169,done,ragorigin,llama3.2-3b,1.36135,4,0.6,1.36135,False
ragorigin_nq_nq_30,done,ragorigin,llama3.2-3b,1.38273,4,1.0,1.38273,False
ragorigin_nq_nq_27,done,ragorigin,llama3.2-3b,1.40411,5,0.8,1.52068,False
ragorigin_nq_nq_170,done,ragorigin,llama3.2-3b,1.43665,4,0.6,1.43665,False
ragorigin_nq_nq_154,done,ragorigin,llama3.2-3b,1.43947,5,0.8,1.44662,False
ragorigin_nq_nq_80,done,ragorigin,llama3.2-3b,1.44342,5,0.8,1.39584,False
ragorigin_nq_nq_6,done,ragorigin,llama3.2-3b,1.44602,6,0.8,1.45498,False
ragorigin_nq_nq_193,done,ragorigin,llama3.2-3b,1.46945,5,0.8,1.44741,False
ragorigin_nq_nq_204,done,ragorigin,llama3.2-3b,1.47295,5,0.8,1.4813,False
ragorigin_nq_nq_106,done,ragorigin,llama3.2-3b,1.48086,5,0.8,1.49266,False
ragorigin_nq_nq_201,done,ragorigin,llama3.2-3b,1.48973,5,0.8,1.53052,False
ragorigin_nq_nq_95,done,ragorigin,llama3.2-3b,1.51478,5,0.8,1.55221,False
ragorigin_nq_nq_60,done,ragorigin,llama3.2-3b,1.53499,4,1.0,1.53499,False
ragorigin_nq_nq_115,done,ragorigin,llama3.2-3b,1.55588,5,0.8,1.52455,False
ragorigin_nq_nq_147,done,ragorigin,llama3.2-3b,1.56388,5,0.8,1.59381,False
ragorigin_nq_nq_108,done,ragorigin,llama3.2-3b,1.57169,7,0.8,1.62033,False
ragorigin_nq_nq_0,done,ragorigin,llama3.2-3b,1.58742,5,0.8,1.58907,False
ragorigin_nq_nq_65,done,ragorigin,llama3.2-3b,1.59131,7,0.8,1.55602,False
ragorigin_nq_nq_102,done,ragorigin,llama3.2-3b,1.60237,5,0.8,1.68881,False
ragorigin_nq_nq_61,done,ragorigin,llama3.2-3b,1.60825,5,0.8,1.53203,False
ragorigin_nq_nq_96,done,ragorigin,llama3.2-3b,1.62056,4,1.0,1.62056,False
ragorigin_nq_nq_191,done,ragorigin,llama3.2-3b,1.62367,5,0.8,1.66823,False
ragorigin_nq_nq_16,done,ragorigin,llama3.2-3b,1.64575,5,0.8,1.69485,False
ragorigin_nq_nq_88,done,ragorigin,llama3.2-3b,1.64697,9,0.8,1.65665,False
ragorigin_nq_nq_71,done,ragorigin,llama3.2-3b,1.72442,7,0.8,1.7285,False
ragorigin_nq_nq_186,done,ragorigin,llama3.2-3b,1.7595,5,0.8,1.7888,False
ragorigin_nq_nq_143,done,ragorigin,llama3.2-3b,1.79008,4,0.8,1.79008,False
ragorigin_nq_nq_140,done,ragorigin,llama3.2-3b,1.80891,4,0.8,1.80891,False
ragorigin_nq_nq_79,done,ragorigin,llama3.2-3b,1.83659,5,0.8,1.83956,False
ragorigin_nq_nq_34,done,ragorigin,llama3.2-3b,1.84757,10,0.8,1.90225,False
ragorigin_nq_nq_189,done,ragorigin,llama3.2-3b,1.95445,5,0.8,1.96524,False
