tool,backend,budget,gap_only,vcsa
attntrace,llama3.2-3b,0.0,0.09917355371900827,0.1
attntrace,llama3.2-3b,0.1,0.1349206349206349,0.10810810810810811
attntrace,llama3.2-3b,0.2,0.16153846153846155,0.11607142857142858
attntrace,llama3.2-3b,0.30000000000000004,0.1865671641791045,0.11607142857142858
attntrace,llama3.2-3b,0.4,0.20437956204379562,0.13157894736842105
attntrace,llama3.2-3b,0.5,0.21014492753623187,0.1391304347826087
attntrace,llama3.2-3b,0.6000000000000001,0.21014492753623187,0.1391304347826087
attntrace,llama3.2-3b,0.7000000000000001,0.22695035460992907,0.14655172413793102
attntrace,llama3.2-3b,0.8,0.24305555555555555,0.15384615384615385
attntrace,llama3.2-3b,0.9,0.24305555555555555,0.15384615384615385
attntrace,llama3.2-3b,1.0,0.24305555555555555,0.15384615384615385
attntrace,llama3.2-3b,1.1,0.24305555555555555,0.15384615384615385
attntrace,llama3.2-3b,1.2000000000000002,0.24305555555555555,0.15384615384615385
attntrace,llama3.2-3b,1.3,0.24305555555555555,0.15384615384615385
attntrace,llama3.2-3b,1.4000000000000001,0.24305555555555555,0.15384615384615385
attntrace,llama3.2-3b,1.5,0.2482758620689655,0.16101694915254236
attntrace,llama3.2-3b,1.6,0.2733333333333333,0.1951219512195122
attntrace,llama3.2-3b,1.7000000000000002,0.3466666666666667,0.2764227642276423
attntrace,llama3.2-3b,1.8,0.56,0.5203252032520326
attntrace,llama3.2-3b,1.9000000000000001,0.7266666666666667,0.7154471544715447
attntrace,llama3.2-3b,2.0,0.86,0.8536585365853658
attntrace,llama3.2-3b,2.1,0.94,0.9512195121951219
attntrace,llama3.2-3b,2.2,0.9666666666666667,0.975609756097561
attntrace,llama3.2-3b,2.3000000000000003,0.9866666666666667,0.983739837398374
attntrace,llama3.2-3b,2.4000000000000004,0.9866666666666667,0.983739837398374
attntrace,llama3.2-3b,2.5,0.9866666666666667,0.983739837398374
attntrace,llama3.2-3b,2.6,0.9933333333333333,0.991869918699187
attntrace,llama3.2-3b,2.7,0.9933333333333333,0.991869918699187
attntrace,llama3.2-3b,2.8000000000000003,1.0,1.0
attntrace,llama3.2-3b,2.9000000000000004,1.0,1.0
attntrace,llama3.2-3b,3.0,1.0,1.0
attntrace,qwen2.5-3b,0.0,0.0743801652892562,0.05555555555555555
attntrace,qwen2.5-3b,0.1,0.125,0.08928571428571429
attntrace,qwen2.5-3b,0.2,0.16417910447761194,0.1206896551724138
attntrace,qwen2.5-3b,0.30000000000000004,0.17647058823529413,0.13559322033898305
attntrace,qwen2.5-3b,0.4,0.18840579710144928,0.14285714285714285
attntrace,qwen2.5-3b,0.5,0.18840579710144928,0.14285714285714285
attntrace,qwen2.5-3b,0.6000000000000001,0.20567375886524822,0.14285714285714285
attntrace,qwen2.5-3b,0.7000000000000001,0.20567375886524822,0.14285714285714285
attntrace,qwen2.5-3b,0.8,0.2112676056338028,0.14285714285714285
attntrace,qwen2.5-3b,0.9,0.2112676056338028,0.14285714285714285
attntrace,qwen2.5-3b,1.0,0.2112676056338028,0.14285714285714285
attntrace,qwen2.5-3b,1.1,0.2112676056338028,0.14285714285714285
attntrace,qwen2.5-3b,1.2000000000000002,0.2112676056338028,0.14285714285714285
attntrace,qwen2.5-3b,1.3,0.2112676056338028,0.14285714285714285
attntrace,qwen2.5-3b,1.4000000000000001,0.2112676056338028,0.14285714285714285
attntrace,qwen2.5-3b,1.5,0.2112676056338028,0.14285714285714285
attntrace,qwen2.5-3b,1.6,0.2222222222222222,0.15702479338842976
attntrace,qwen2.5-3b,1.7000000000000002,0.29333333333333333,0.2440944881889764
attntrace,qwen2.5-3b,1.8,0.44,0.41732283464566927
attntrace,qwen2.5-3b,1.9000000000000001,0.62,0.6062992125984252
attntrace,qwen2.5-3b,2.0,0.7933333333333333,0.7952755905511811
attntrace,qwen2.5-3b,2.1,0.8933333333333333,0.8976377952755905
attntrace,qwen2.5-3b,2.2,0.9666666666666667,0.9763779527559056
attntrace,qwen2.5-3b,2.3000000000000003,0.9866666666666667,0.984251968503937
attntrace,qwen2.5-3b,2.4000000000000004,0.9933333333333333,0.9921259842519685
attntrace,qwen2.5-3b,2.5,1.0,1.0
attntrace,qwen2.5-3b,2.6,1.0,1.0
attntrace,qwen2.5-3b,2.7,1.0,1.0
attntrace,qwen2.5-3b,2.8000000000000003,1.0,1.0
attntrace,qwen2.5-3b,2.9000000000000004,1.0,1.0
attntrace,qwen2.5-3b,3.0,1.0,1.0
